address,county,region,house_area_m2,rooms,maintenance_fee,sold_price,sold_date,price_change_perc,price_per_m2,housing_type,other_usable_area
Arsenalsgatan 10A,Göteborgs kommun,Kungshöjd,142.0,4.0,6258.0,11000000.0,7 april 2022,13.0,77465.0,Lägenhet,
Storhöjdsgatan 12,Göteborgs kommun,Strömmensberg,42.9,2.0,2281.0,2580000.0,7 april 2022,3.0,60140.0,Lägenhet,
Brottkärrsvägen 9,Göteborgs kommun,Hovås,39.0,1.0,2457.0,2475000.0,7 april 2022,5.0,63462.0,Lägenhet,
Solventilsgatan 7,Göteborgs kommun,Kvillebäcken,52.0,2.0,3338.0,2710000.0,7 april 2022,-3.0,52115.0,Lägenhet,
Jörgensgatan 6B,Göteborgs kommun,Bagaregården,65.9,2.0,3190.0,3290000.0,7 april 2022,12.0,49924.0,Lägenhet,
Halmgatan 11,Göteborgs kommun,Hisings Backa,184.0,9.0,,7550000.0,7 april 2022,1.0,,Villa,119.0
Trollgången 78,Göteborgs kommun,Sörbackens Koloniförening,,,,520000.0,7 april 2022,9.0,,Fritidshus,0
Gåsmossen 39,Göteborgs kommun,Askim,123.0,6.0,,7725000.0,7 april 2022,24.0,,Radhus,58.0
Ångaren Ernas gata 1,Göteborgs kommun,Sannegården,62.0,2.0,3895.0,3675000.0,7 april 2022,6.0,59274.0,Lägenhet,
Tomtegatan 3,Göteborgs kommun,Centrum,58.0,2.0,5972.0,1995000.0,7 april 2022,0.0,34397.0,Lägenhet,
Brunnehagen 12,Göteborgs kommun,Tuve,80.0,3.5,5135.0,2520000.0,7 april 2022,7.0,31500.0,Lägenhet,
Sergelsgatan 4E,Göteborgs kommun,Lunden,37.0,1.0,2616.0,2350000.0,7 april 2022,,63514.0,Lägenhet,
Stobéegatan 10B,Göteborgs kommun,Kålltorp,40.0,1.0,2074.0,2350000.0,7 april 2022,0.0,58750.0,Lägenhet,
Norra Skeppspromenaden 6,Göteborgs kommun,Eriksberg,74.0,2.0,4179.0,4300000.0,7 april 2022,8.0,58108.0,Lägenhet,
Stampgatan 60A,Göteborgs kommun,Stampen,96.0,4.0,4015.0,5280000.0,7 april 2022,18.0,55000.0,Lägenhet,
Önskevädersgatan 17,Göteborgs kommun,Biskopsgården,77.0,4.0,4862.0,1820000.0,7 april 2022,-9.0,23636.0,Lägenhet,
Ebbe Lieberathsgatan 16C,Göteborgs kommun,Johanneberg - Almedal,41.0,1.5,2324.0,3060000.0,7 april 2022,,74634.0,Lägenhet,
Trumpetgatan 10,Göteborgs kommun,Frölunda,65.5,2.0,4251.0,3050000.0,7 april 2022,-1.0,46565.0,Lägenhet,
Anna Branzells Gata 8,Göteborgs kommun,Kviberg,94.5,4.0,5189.0,4800000.0,7 april 2022,5.0,50794.0,Lägenhet,
Karl Staaffsgatan 14A,Göteborgs kommun,Slättadamm,53.0,2.0,3269.0,1940000.0,7 april 2022,18.0,36604.0,Lägenhet,
Kobbeslätten 10,Göteborgs kommun,Askim,74.0,3.0,4408.0,3650000.0,7 april 2022,,49324.0,Lägenhet,
Legendgatan 23,Göteborgs kommun,Hisings Backa,63.0,2.0,4630.0,2300000.0,7 april 2022,10.0,36508.0,Lägenhet,
Sveagatan 2 C,Göteborgs kommun,Linnéstaden,58.0,2.0,1924.0,5500000.0,7 april 2022,20.0,94828.0,Lägenhet,
Nordostpassagen 31,Göteborgs kommun,Linnéstaden,85.0,4.0,3723.0,4850000.0,7 april 2022,4.0,57059.0,Lägenhet,
Ekebygatan 8,Göteborgs kommun,Hisings Backa,74.3,3.0,5150.0,2100000.0,7 april 2022,5.0,28264.0,Lägenhet,
Långängen 1A,Göteborgs kommun,Kvillebäcken,43.8,2.0,2744.0,2390000.0,7 april 2022,9.0,54566.0,Lägenhet,
Åsbacken 30,Göteborgs kommun,Billdal,72.0,3.0,5045.0,3500000.0,7 april 2022,10.0,48611.0,Lägenhet,
Rundbäcksgatan 5,Göteborgs kommun,Kvillebäcken,38.5,1.5,2363.0,2200000.0,7 april 2022,10.0,57143.0,Lägenhet,
Risåsgatan 5,Göteborgs kommun,Linnéstaden,77.0,2.0,3321.0,6080000.0,7 april 2022,6.0,78961.0,Lägenhet,
Klyfteråsen 15,Göteborgs kommun,Billdal - Skintebo,135.0,5.0,,6100000.0,7 april 2022,-3.0,,Radhus,18.0
Gunnel Weinås väg 17,Göteborgs kommun,Kviberg,121.0,4.0,,6300000.0,7 april 2022,15.0,,Villa,8.0
Fiolgatan 4,Göteborgs kommun,Ruddalen,69.3,3.0,4950.0,2285000.0,7 april 2022,5.0,32973.0,Lägenhet,
Rositas gata 2,Göteborgs kommun,Eriksberg,68.0,3.0,2038.0,4750000.0,7 april 2022,6.0,69853.0,Lägenhet,
Norumsgärde 110,Göteborgs kommun,Tuve,108.0,5.0,,4990000.0,7 april 2022,26.0,,Radhus,42.0
Fritiof Anderssons Gata 7,Göteborgs kommun,Eriksberg,63.1,2.0,2841.0,3500000.0,7 april 2022,3.0,55468.0,Lägenhet,
Cederflychts gata 9,Göteborgs kommun,Hisings Backa,93.4,4.0,6552.0,2300000.0,6 april 2022,10.0,24625.0,Lägenhet,
"Olivedalsgatan 10, lgh 1",Göteborgs kommun,Linné,105.0,4.0,2551.0,11250000.0,6 april 2022,2.0,107143.0,Lägenhet,
Lövslingan 20,Göteborgs kommun,Lövgärdet,,,,425000.0,6 april 2022,-19.0,,Fritidshus,0
Toredalsgatan 38,Göteborgs kommun,Centrala Hisingen,130.0,5.0,,5500000.0,6 april 2022,7.0,,Villa,76.0
Solhagagatan 118,Göteborgs kommun,Hisings Kärra,91.9,4.0,6237.0,2950000.0,6 april 2022,9.0,32100.0,Lägenhet,
Vingagatan 6A,Göteborgs kommun,Majorna,55.0,2.0,3438.0,3625000.0,6 april 2022,23.0,65909.0,Lägenhet,
Östra Skansgatan 8B,Göteborgs kommun,Haga,66.3,2.0,5074.0,4200000.0,6 april 2022,9.0,63348.0,Lägenhet,
Molnvädersgatan 20,Göteborgs kommun,Biskopsgården,40.0,1.0,2794.0,1160000.0,6 april 2022,18.0,29000.0,Lägenhet,
Guldringen 7,Göteborgs kommun,Västra Frölunda,45.0,1.5,2989.0,2000000.0,6 april 2022,19.0,44444.0,Lägenhet,
Mandolingatan 11,Göteborgs kommun,Ruddalen,46.5,2.0,2499.0,1950000.0,6 april 2022,10.0,41935.0,Lägenhet,
Lillekärr Norra 30,Göteborgs kommun,Hisings Kärra,30.9,1.0,2421.0,1300000.0,6 april 2022,-4.0,42071.0,Lägenhet,
Åbranten 9,Göteborgs kommun,Angered,155.0,6.0,,5400000.0,6 april 2022,9.0,,Villa,0
Hammarvägen 336,Göteborgs kommun,Näset,131.0,5.0,,6770000.0,6 april 2022,4.0,,Radhus,0
Litteraturgatan 214,Göteborgs kommun,Hisings Backa,76.0,3.0,4495.0,2970000.0,6 april 2022,3.0,39079.0,Lägenhet,
Långängen 7,Göteborgs kommun,Kvillebäcken,57.0,2.0,3069.0,2860000.0,6 april 2022,2.0,50175.0,Lägenhet,
Önneredsvägen 115,Göteborgs kommun,Önnered,80.0,3.0,5266.0,4000000.0,6 april 2022,0.0,50000.0,Lägenhet,
Vattugatan 5,Göteborgs kommun,Masthugget,33.4,1.5,2378.0,2425000.0,6 april 2022,2.0,72605.0,Lägenhet,
Piggvarsgatan 29,Göteborgs kommun,Källängen,87.0,4.0,,6300000.0,6 april 2022,12.0,,Radhus,0
Månskäregatan 3B,Göteborgs kommun,Örgryte,56.0,2.0,3617.0,3650000.0,6 april 2022,4.0,65179.0,Lägenhet,
Storhöjdsgatan 12,Göteborgs kommun,Strömmensberg,54.0,2.0,2890.0,3150000.0,6 april 2022,15.0,58333.0,Lägenhet,
Sofiagatan 50C,Göteborgs kommun,Strömmensberg,43.5,2.0,3290.0,2500000.0,6 april 2022,,57471.0,Lägenhet,
Nordreviksvägen 7,Göteborgs kommun,Billdal - Västra Lindås,181.0,6.0,,11300000.0,6 april 2022,8.0,,Villa,60.0
Eklandagatan 41A,Göteborgs kommun,Johanneberg,38.4,1.0,1973.0,2900000.0,6 april 2022,8.0,75521.0,Lägenhet,
Lilla drottninggatan 4D,Göteborgs kommun,Inom Vallgraven,50.0,2.0,3100.0,3800000.0,6 april 2022,3.0,76000.0,Lägenhet,
Institutsgatan 7,Göteborgs kommun,Lundby,166.0,6.0,,6100000.0,6 april 2022,14.0,,Villa,79.0
Övre Hallegatan 18,Göteborgs kommun,Ramberget,94.4,4.0,6326.0,3990000.0,6 april 2022,11.0,42267.0,Lägenhet,
Brunnehagen 27,Göteborgs kommun,Tuve,62.0,2.0,3629.0,1960000.0,6 april 2022,,31613.0,Lägenhet,
Nordhemsgatan 66C,Göteborgs kommun,Linnéstaden,94.0,4.0,5362.0,8220000.0,6 april 2022,7.0,87447.0,Lägenhet,
Värslevägen 31,Göteborgs kommun,Vita Fläcken,37.3,1.5,2478.0,1840000.0,6 april 2022,-3.0,49330.0,Lägenhet,
Bronsfyndsgatan 33,Göteborgs kommun,Kannebäck,98.0,5.0,,6600000.0,6 april 2022,22.0,,Radhus,14.0
Strandridaregatan 18P,Göteborgs kommun,Kungsladugård,36.7,1.0,1982.0,2800000.0,6 april 2022,23.0,76294.0,Lägenhet,
Skalldalsvägen 81,Göteborgs kommun,Hovås,127.0,5.0,,7400000.0,6 april 2022,18.0,,Radhus,0
Stekastigen 12,Göteborgs kommun,Agnesberg,60.5,2.0,4689.0,1120000.0,6 april 2022,25.0,18512.0,Lägenhet,
Famngatan 30,Göteborgs kommun,Högsbo,59.0,2.0,3847.0,2980000.0,6 april 2022,0.0,50508.0,Lägenhet,
Nordostpassagen 23,Göteborgs kommun,Linnéstaden,82.0,3.0,3585.0,4930000.0,6 april 2022,13.0,60122.0,Lägenhet,
Mossbanken 15,Göteborgs kommun,Centrala Hisingen - Tolered,115.0,6.0,,5720000.0,6 april 2022,6.0,,Villa,69.0
Chalmersgatan 3C,Göteborgs kommun,Vasastaden,17.0,1.0,965.0,2800000.0,6 april 2022,14.0,164706.0,Lägenhet,
Ernst Torulfsgatan 19A,Göteborgs kommun,Munkebäck,49.5,2.0,4095.0,2300000.0,6 april 2022,5.0,46465.0,Lägenhet,
Virvelvindsgatan 24,Göteborgs kommun,Hisingen,69.0,3.0,4801.0,2930000.0,6 april 2022,5.0,42464.0,Lägenhet,
Kabelgatan 24,Göteborgs kommun,Majorna,56.5,2.0,4109.0,2825000.0,6 april 2022,11.0,50000.0,Lägenhet,
Doktor Hjorts gata 10 A,Göteborgs kommun,Södra Guldheden,61.0,3.0,3791.0,4150000.0,6 april 2022,11.0,68033.0,Lägenhet,
Doktor Forselius gata 14,Göteborgs kommun,Södra Guldheden,120.0,6.0,7577.0,6100000.0,6 april 2022,4.0,50833.0,Lägenhet,
Stenåldersvägen 14,Göteborgs kommun,Bräcke,95.0,5.0,,5450000.0,6 april 2022,0.0,,Villa,32.0
Smörgatan 27,Göteborgs kommun,Kallebäck,99.0,3.5,5572.0,5490000.0,6 april 2022,17.0,55455.0,Lägenhet,
Hjuviks bryggväg 30,Göteborgs kommun,Torslanda - Hjuvik,96.9,4.0,5855.0,5500000.0,5 april 2022,13.0,56760.0,Lägenhet,
Karlatornet (Lodjursstråket 1),Göteborgs kommun,Lindholmen,55.0,2.0,4162.0,4100000.0,5 april 2022,-5.0,74545.0,Lägenhet,
Rustmästaregatan 19,Göteborgs kommun,Kviberg,82.0,3.0,4026.0,4000000.0,5 april 2022,9.0,48780.0,Lägenhet,
Stora Pölsans väg 30,Göteborgs kommun,Hjuvik,202.0,7.0,,8250000.0,5 april 2022,0.0,,Villa,20.0
Ottfjällsgatan 1,Göteborgs kommun,Strömmensberg,48.0,2.0,3562.0,2620000.0,5 april 2022,10.0,54583.0,Lägenhet,
Sanatoriegatan 13C,Göteborgs kommun,Kålltorp,76.0,3.0,4718.0,4650000.0,5 april 2022,,61184.0,Lägenhet,
Mölndalsvägen 35,Göteborgs kommun,Almedal,67.5,2.0,3156.0,3000000.0,5 april 2022,9.0,44444.0,Lägenhet,
Nordostpassagen 25,Göteborgs kommun,Linné,77.0,3.0,3328.0,4400000.0,5 april 2022,5.0,57143.0,Lägenhet,
Ebbe Lieberathsgatan 16C,Göteborgs kommun,Johanneberg - Almedal,41.0,1.5,2831.0,3000000.0,5 april 2022,11.0,73171.0,Lägenhet,
Gamlestads Brygga 5,Göteborgs kommun,Gamlestaden,59.0,2.0,2950.0,3350000.0,5 april 2022,2.0,56780.0,Lägenhet,
Gräddgatan 10,Göteborgs kommun,Kallebäck,30.0,1.5,2463.0,1975000.0,5 april 2022,10.0,65833.0,Lägenhet,
Cederflychts gata 1,Göteborgs kommun,Hisings Backa,93.4,4.0,6251.0,2700000.0,5 april 2022,8.0,28908.0,Lägenhet,
Åslyckevägen 10,Göteborgs kommun,Tuve,108.0,5.0,,5550000.0,5 april 2022,1.0,,Villa,73.0
Guldringen 17,Göteborgs kommun,Tynnered,64.0,2.0,4452.0,2270000.0,5 april 2022,8.0,35469.0,Lägenhet,
Kapplandsgatan 34,Göteborgs kommun,Högsbo,54.8,2.0,3350.0,2410000.0,5 april 2022,5.0,43978.0,Lägenhet,
Antenngatan 47C,Göteborgs kommun,Järnbrott,115.0,5.0,9677.0,5000000.0,5 april 2022,19.0,43478.0,Lägenhet,
Karl Johansgatan 92,Göteborgs kommun,Majorna,61.0,2.0,2984.0,3400000.0,5 april 2022,14.0,55738.0,Lägenhet,
Kallebäcksvägen 13B,Göteborgs kommun,Kallebäck,59.2,2.0,4247.0,2350000.0,5 april 2022,7.0,39696.0,Lägenhet,
Föreningsgatan 18C,Göteborgs kommun,Vasastaden,42.0,1.5,2877.0,3050000.0,5 april 2022,11.0,72619.0,Lägenhet,
Gamlestads Brygga 17,Göteborgs kommun,Gamlestaden,73.0,3.0,4180.0,4700000.0,5 april 2022,18.0,64384.0,Lägenhet,
Räntmästaregatan 28A,Göteborgs kommun,Lunden,51.0,2.0,3828.0,3260000.0,5 april 2022,,63922.0,Lägenhet,
Storkgatan 4B,Göteborgs kommun,Bagaregården,42.1,1.5,2634.0,2510000.0,5 april 2022,12.0,59620.0,Lägenhet,
Örgryte Stomgata 28,Göteborgs kommun,Örgryte,100.0,5.0,5301.0,7100000.0,5 april 2022,0.0,71000.0,Lägenhet,
Tredje långgatan 39,Göteborgs kommun,Linnéstaden,70.0,3.0,3404.0,4300000.0,5 april 2022,11.0,61429.0,Lägenhet,
Cederflychts gata 7,Göteborgs kommun,Hisings Backa,66.1,2.0,4670.0,1470000.0,5 april 2022,5.0,22239.0,Lägenhet,
Sten-Åke Cederhöks Gata 1B,Göteborgs kommun,Örgryte Torp,68.0,2.5,3671.0,5400000.0,5 april 2022,9.0,79412.0,Lägenhet,
Lilla Fridhemsgatan 6 B,Göteborgs kommun,Kungsladugård,38.0,1.0,2670.0,2650000.0,5 april 2022,18.0,69737.0,Lägenhet,
Transistorgatan 19,Göteborgs kommun,Västra Frölunda,52.0,2.0,2525.0,2940000.0,5 april 2022,5.0,56538.0,Lägenhet,
Utåkersgatan 3 B,Göteborgs kommun,Kålltorp,87.0,3.5,5927.0,3790000.0,4 april 2022,3.0,43563.0,Lägenhet,
Nordhemsgatan 72C,Göteborgs kommun,Linnéstaden,66.0,2.0,4109.0,4300000.0,4 april 2022,13.0,65152.0,Lägenhet,
Borstbindaregatan 7,Göteborgs kommun,Kvillebäcken,74.0,3.0,4462.0,3900000.0,4 april 2022,3.0,52703.0,Lägenhet,
Doktor Lindhs gata 6,Göteborgs kommun,Guldheden,38.1,1.0,1917.0,2850000.0,4 april 2022,14.0,74803.0,Lägenhet,
Borstbindaregatan 17,Göteborgs kommun,Kvillebäcken,55.0,2.0,3490.0,2850000.0,4 april 2022,2.0,51818.0,Lägenhet,
Nilssonsberg 5,Göteborgs kommun,Linné/ Annedal,46.4,2.0,2739.0,3500000.0,4 april 2022,10.0,75431.0,Lägenhet,
Stampgatan 64,Göteborgs kommun,Stampen,70.3,3.0,3657.0,5000000.0,4 april 2022,12.0,71124.0,Lägenhet,
Hälleflundregatan 22,Göteborgs kommun,Fiskebäck,90.0,3.0,4733.0,6625000.0,4 april 2022,14.0,73611.0,Lägenhet,
Bratteråsgatan 40,Göteborgs kommun,Eriksberg,77.0,2.0,4441.0,5595000.0,4 april 2022,-2.0,72662.0,Lägenhet,
Östra Eriksbergsgatan 85A,Göteborgs kommun,Eriksberg,61.0,1.5,3200.0,3450000.0,4 april 2022,,56557.0,Lägenhet,
Tunnlandsgatan 18,Göteborgs kommun,Kaverös,60.5,2.0,2558.0,2285000.0,4 april 2022,4.0,37769.0,Lägenhet,
Guldpokalsgatan 5B,Göteborgs kommun,Centrala Hisingen,36.5,1.0,2585.0,1800000.0,4 april 2022,6.0,49315.0,Lägenhet,
Batterigatan 7 D,Göteborgs kommun,Gamlestaden,57.0,2.0,3320.0,2700000.0,4 april 2022,10.0,47368.0,Lägenhet,
Gibraltargatan 58,Göteborgs kommun,Johanneberg,48.0,2.0,2583.0,3180000.0,3 april 2022,10.0,66250.0,Lägenhet,
Askims ängsväg 17,Göteborgs kommun,Askim,328.0,10.0,,15950000.0,3 april 2022,0.0,,Villa,0
Långåsliden 12,Göteborgs kommun,Örgryte - Skår,250.0,10.0,,12995000.0,3 april 2022,0.0,,Villa,100.0
Mölndalsvägen 89D,Göteborgs kommun,Johanneberg - Almedal,55.0,2.0,3218.0,3450000.0,3 april 2022,5.0,62727.0,Lägenhet,
Purpurgatan 17,Göteborgs kommun,Näset - Åkered,133.0,5.0,,6600000.0,3 april 2022,7.0,,Radhus,1.0
Femkampsgatan 3A,Göteborgs kommun,Lunden,37.0,1.0,2951.0,2375000.0,3 april 2022,,64189.0,Lägenhet,
Kalendervägen 49,Göteborgs kommun,Kortedala,65.0,3.0,3742.0,2130000.0,3 april 2022,7.0,32769.0,Lägenhet,
Seglaregatan 35,Göteborgs kommun,Majorna,64.0,2.0,4126.0,2750000.0,3 april 2022,4.0,42969.0,Lägenhet,
Linnégatan 41B,Göteborgs kommun,Linné,43.0,1.0,2150.0,3800000.0,3 april 2022,,88372.0,Lägenhet,
Bratteråsgatan 56,Göteborgs kommun,Eriksberg,62.0,2.0,3515.0,3200000.0,2 april 2022,-2.0,51613.0,Lägenhet,
Stabbegatan 36,Göteborgs kommun,Björkekärr,86.5,5.0,5854.0,4200000.0,2 april 2022,,48555.0,Lägenhet,
Plåtmyntsgatan 5,Göteborgs kommun,Högsbo,29.0,1.0,2087.0,1750000.0,2 april 2022,0.0,60345.0,Lägenhet,
Margit halls gata 33,Göteborgs kommun,Kviberg,44.0,2.0,2996.0,2500000.0,2 april 2022,4.0,56818.0,Lägenhet,
Önskevädersgatan 31,Göteborgs kommun,Biskopsgården,60.3,2.0,3961.0,1295000.0,2 april 2022,0.0,21476.0,Lägenhet,
Kabelgatan 37E,Göteborgs kommun,Majorna,54.0,2.0,3961.0,2750000.0,2 april 2022,6.0,50926.0,Lägenhet,
Brämaregatan 1A,Göteborgs kommun,Centrala Hisingen,71.0,3.0,4540.0,3600000.0,2 april 2022,,50704.0,Lägenhet,
Ångaren Indias gata 1,Göteborgs kommun,Sannegårdshamnen,76.0,2.0,4358.0,3300000.0,2 april 2022,-1.0,43421.0,Lägenhet,
Lövskogsgatan 13A,Göteborgs kommun,Norra Guldheden,48.5,2.0,2618.0,3600000.0,2 april 2022,14.0,74227.0,Lägenhet,
Sägengatan 60,Göteborgs kommun,Hisings Backa,39.6,1.0,3300.0,1425000.0,2 april 2022,6.0,35985.0,Lägenhet,
Ostindiefararen 29,Göteborgs kommun,Eriksberg,41.5,1.5,1938.0,3000000.0,2 april 2022,0.0,72289.0,Lägenhet,
Nordostpassagen 42,Göteborgs kommun,Linnéstaden,39.0,1.5,2557.0,2750000.0,2 april 2022,7.0,70513.0,Lägenhet,
Lodjursstråket 1 Vån 25,Göteborgs kommun,Lindholmen,55.0,2.0,4126.0,4490000.0,1 april 2022,0.0,81636.0,Lägenhet,
Befälsgatan 6,Göteborgs kommun,Kviberg,74.5,3.0,3414.0,2510000.0,1 april 2022,10.0,33691.0,Lägenhet,
"BRF Solhöjden, Styrsö Skäret lägenhet 1-1003",Göteborgs kommun,Södra Skärgården - Styrsö,53.0,2.0,2937.0,2950000.0,1 april 2022,0.0,55660.0,Lägenhet,
"BRF Solhöjden, Styrsö Skäret",Göteborgs kommun,Södra Skärgården - Styrsö,79.0,3.0,4378.0,4050000.0,1 april 2022,0.0,51266.0,Lägenhet,
Vintervädersgatan 7,Göteborgs kommun,Göteborg,52.3,2.0,2955.0,1560000.0,1 april 2022,5.0,29828.0,Lägenhet,
Aveskärsgatan 4A,Göteborgs kommun,Önnered,169.0,6.0,,9325000.0,1 april 2022,10.0,,Villa,32.0
Erik Dahlbergsgatan 27C,Göteborgs kommun,Vasastaden,59.0,2.5,3478.0,4600000.0,1 april 2022,15.0,77966.0,Lägenhet,
Ekebygatan 6,Göteborgs kommun,Hisings Backa,65.4,2.0,4759.0,1850000.0,1 april 2022,16.0,28287.0,Lägenhet,
Lillekärr Norra 30,Göteborgs kommun,Kärra,45.5,1.0,2650.0,1425000.0,1 april 2022,-5.0,31319.0,Lägenhet,
Ulfsparregatan 22,Göteborgs kommun,Lunden,50.0,2.0,2741.0,3800000.0,1 april 2022,,76000.0,Lägenhet,
Räntmästaregatan 25G,Göteborgs kommun,Lunden,40.5,2.0,2776.0,2835000.0,1 april 2022,,70000.0,Lägenhet,
Sankt Jörgens väg 12A,Göteborgs kommun,Hisings Backa,75.0,3.0,4135.0,3525000.0,1 april 2022,18.0,47000.0,Lägenhet,
Barken Beatrices Gata 14,Göteborgs kommun,Sannegården,85.0,3.0,4702.0,5600000.0,1 april 2022,7.0,65882.0,Lägenhet,
Åkroken 8,Göteborgs kommun,Angered,85.0,4.0,,4800000.0,1 april 2022,14.0,,Villa,85.0
Mölndalsvägen 63,Göteborgs kommun,Johanneberg - Almedal,101.0,4.0,4469.0,5900000.0,1 april 2022,12.0,58416.0,Lägenhet,
Klåveskärsgatan 4,Göteborgs kommun,Önnered,162.0,7.0,,7500000.0,1 april 2022,,,Radhus,5.0
Nordostpassagen 25,Göteborgs kommun,Linnéstaden,76.6,3.0,3489.0,5350000.0,1 april 2022,10.0,69843.0,Lägenhet,
Skogaberg 98,Göteborgs kommun,Sankt Jörgen,155.0,7.0,,6600000.0,1 april 2022,7.0,,Villa,8.0
Julaftonsgatan 86,Göteborgs kommun,Kortedala,100.0,5.0,,4300000.0,1 april 2022,8.0,,Villa,57.0
Kavaljersgatan 14,Göteborgs kommun,Hisings Backa,90.0,4.0,6126.0,2505000.0,1 april 2022,5.0,27833.0,Lägenhet,
Stenbocksgatan 11,Göteborgs kommun,Sannegården,78.0,3.0,4620.0,4850000.0,1 april 2022,3.0,62179.0,Lägenhet,
Hallstenshagen 5,Göteborgs kommun,Önnered,145.0,5.0,,7100000.0,1 april 2022,,,Radhus,0
Östra Midvintersgatan 14,Göteborgs kommun,Kortedala,61.0,3.0,3945.0,1830000.0,1 april 2022,8.0,30000.0,Lägenhet,
Bratteråsgatan 50,Göteborgs kommun,Eriksberg,79.0,3.0,3783.0,4600000.0,1 april 2022,10.0,58228.0,Lägenhet,
Klarinettgatan 11,Göteborgs kommun,Kaverös,53.5,2.0,3372.0,2300000.0,1 april 2022,16.0,42991.0,Lägenhet,
Södra Vägen 81,Göteborgs kommun,Johanneberg,79.0,3.5,2622.0,5500000.0,1 april 2022,10.0,69620.0,Lägenhet,
Kaggeledsgatan 38C,Göteborgs kommun,Munkebäck/Vidkärr,84.0,3.0,5158.0,3900000.0,1 april 2022,,46429.0,Lägenhet,
Mölndalsvägen 89B,Göteborgs kommun,Johanneberg - Almedal,35.0,1.0,2258.0,2575000.0,1 april 2022,,73571.0,Lägenhet,
Teleskopgatan 8,Göteborgs kommun,Bergsjön,53.0,2.0,3700.0,1400000.0,1 april 2022,12.0,26415.0,Lägenhet,
Regementsvägen 4,Göteborgs kommun,Kviberg,59.0,2.0,3955.0,2700000.0,1 april 2022,,45763.0,Lägenhet,
Termometergatan 19,Göteborgs kommun,Länsmansgården,122.0,5.0,,5700000.0,1 april 2022,0.0,,Villa,6.0
Sisjövägen 351,Göteborgs kommun,Sisjön,154.0,,,5950000.0,1 april 2022,1.0,,Radhus,25.0
Svängrumsgatan 44,Göteborgs kommun,Flatås,76.5,3.0,3995.0,3000000.0,1 april 2022,5.0,39216.0,Lägenhet,
Solhagagatan 64,Göteborgs kommun,Hisings Kärra,97.7,4.0,6936.0,2450000.0,1 april 2022,2.0,25077.0,Lägenhet,
Kapplandsgatan 98,Göteborgs kommun,Högsbo,104.0,5.0,5679.0,4500000.0,1 april 2022,0.0,43269.0,Lägenhet,
Jägaregatan 3B,Göteborgs kommun,Centrala Hisingen,49.0,2.0,3756.0,1895000.0,1 april 2022,0.0,38673.0,Lägenhet,
Lindholmshamnen 34,Göteborgs kommun,Lindholmen,66.0,2.0,3736.0,4150000.0,1 april 2022,,62879.0,Lägenhet,
Lasarettsgatan 7B,Göteborgs kommun,Kungshöjd,85.0,3.0,5018.0,5250000.0,1 april 2022,6.0,61765.0,Lägenhet,
Kapplandsgatan 34,Göteborgs kommun,Högsbo,58.8,2.0,3576.0,2610000.0,1 april 2022,11.0,44388.0,Lägenhet,
Lenvädersgatan 5,Göteborgs kommun,Biskopsgården,82.1,4.0,5243.0,1900000.0,1 april 2022,12.0,23143.0,Lägenhet,
Ulfsparregatan 9E,Göteborgs kommun,Lunden,37.0,1.0,2498.0,2230000.0,1 april 2022,13.0,60270.0,Lägenhet,
Karl Gustavsgatan 24 B,Göteborgs kommun,Vasastaden,68.0,2.0,3647.0,5515000.0,1 april 2022,11.0,81103.0,Lägenhet,
Raketgatan 10,Göteborgs kommun,Norra Guldheden,78.0,4.0,5828.0,5690000.0,1 april 2022,15.0,72949.0,Lägenhet,
Måns Bryntessonsgatan 15 C,Göteborgs kommun,Gamlestaden,51.0,2.0,3795.0,2125000.0,31 march 2022,7.0,41667.0,Lägenhet,
Förstamajgatan 24,Göteborgs kommun,Kortedala,53.5,2.0,3220.0,1560000.0,31 march 2022,1.0,29159.0,Lägenhet,
Millenniumgatan 38,Göteborgs kommun,Kortedala,140.0,5.0,4644.0,4450000.0,31 march 2022,7.0,31786.0,Villa,0
Vantgatan 3 E,Göteborgs kommun,Majorna,41.0,2.0,2989.0,2590000.0,31 march 2022,9.0,63171.0,Lägenhet,
Sveagatan 24,Göteborgs kommun,Linnéstaden,57.0,2.0,3450.0,4300000.0,31 march 2022,2.0,75439.0,Lägenhet,
Vintervädersgatan 15,Göteborgs kommun,Biskopsgården,51.9,2.0,2893.0,1250000.0,31 march 2022,14.0,24085.0,Lägenhet,
Lindholmsallén 53,Göteborgs kommun,Lindholmen,52.2,2.0,3379.0,3300000.0,31 march 2022,18.0,63218.0,Lägenhet,
Befälsgatan 8,Göteborgs kommun,Kviberg,53.0,2.0,2411.0,2175000.0,31 march 2022,-5.0,41038.0,Lägenhet,
Stampgatan 42,Göteborgs kommun,Stampen,59.0,2.0,3017.0,2850000.0,31 march 2022,-5.0,48305.0,Lägenhet,
Nordostpassagen 11,Göteborgs kommun,Linnéstaden,80.2,3.0,3664.0,5000000.0,31 march 2022,11.0,62344.0,Lägenhet,
Valebergsvägen 211,Göteborgs kommun,Billdal,129.0,5.0,,6500000.0,31 march 2022,,,Radhus,0
Sjömansgatan 7,Göteborgs kommun,Gamla Masthugget,55.0,2.0,4193.0,4100000.0,31 march 2022,14.0,74545.0,Lägenhet,
Kabelgatan 15C,Göteborgs kommun,Majorna - Gråberget,103.0,4.0,5892.0,5715000.0,31 march 2022,15.0,55485.0,Lägenhet,
